IP Address,MAC Address,Hostname,DHCP Client Name,System Name,Description,Contact,System Location,Vendor,Machine Type,Comments,Response Time,Last Boot Time,Last Synchronization,Status,System Object ID,Type,Skip Scan,Alias,Lease Expiration,Dual Stack IPv6 Address,Subnet Display Name,Subnet Address,Subnet CIDR,Subnet Mask
10.10.12.119,E8-9A-8F-4D-52-04,,AT7325.sifbaksh.com,,,,,Quanta Computer Inc.,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 15:21,,CO-9thFlr-DATA-101,10.10.12.119,24,255.255.255.0
10.10.12.120,94-C6-91-7A-28-61,,AT4010.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 9:06,,CO-9thFlr-DATA-101,10.10.12.120,24,255.255.255.0
10.10.12.121,D4-3D-7E-C0-EA-0A,,AT-7638.sifbaksh.com,,,,,"Micro-Star Int'l Co, Ltd",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 12:52,,CO-9thFlr-DATA-101,10.10.12.121,24,255.255.255.0
10.10.12.122,FC-4D-D4-41-93-99,,AT7809.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/14/19 13:41,,CO-9thFlr-DATA-101,10.10.12.122,24,255.255.255.0
10.10.12.123,94-C6-91-7A-4B-7B,,AT4029.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/14/19 21:11,,CO-9thFlr-DATA-101,10.10.12.123,24,255.255.255.0
10.10.12.124,E8-9A-8F-9D-63-08,,AT--6494.sifbaksh.com,,,,,Quanta Computer Inc.,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/14/19 15:03,,CO-9thFlr-DATA-101,10.10.12.124,24,255.255.255.0
10.10.12.125,30-9C-23-FA-ED-4F,,AT4047.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/14/19 0:13,,CO-9thFlr-DATA-101,10.10.12.125,24,255.255.255.0
10.10.12.126,D4-3D-7E-30-BB-36,,AT7592.sifbaksh.com,,,,,"Micro-Star Int'l Co, Ltd",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 16:37,,CO-9thFlr-DATA-101,10.10.12.126,24,255.255.255.0
10.10.12.127,94-C6-91-7A-23-B2,,AT4009.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 12:52,,CO-9thFlr-DATA-101,10.10.12.127,24,255.255.255.0
10.10.12.128,FC-4D-D4-41-77-FD,,AT7803.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/13/19 1:28,,CO-9thFlr-DATA-101,10.10.12.128,24,255.255.255.0
10.10.12.129,30-9C-23-FA-ED-51,,AT4046.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/13/19 5:46,,CO-9thFlr-DATA-101,10.10.12.129,24,255.255.255.0
10.10.12.130,30-9C-23-FA-ED-ED,,AT4043.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 0:54,,CO-9thFlr-DATA-101,10.10.12.130,24,255.255.255.0
10.10.12.131,FC-4D-D4-41-74-F5,,AT7774.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 14:06,,CO-9thFlr-DATA-101,10.10.12.131,24,255.255.255.0
10.10.12.132,94-C6-91-7A-4C-31,,AT4042.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/14/19 0:17,,CO-9thFlr-DATA-101,10.10.12.132,24,255.255.255.0
10.10.12.133,54-E1-AD-A1-59-79,,AT7116.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 13:41,,CO-9thFlr-DATA-101,10.10.12.133,24,255.255.255.0
10.10.12.134,D4-3D-7E-58-73-10,,AT-7461.sifbaksh.com,,,,,"Micro-Star Int'l Co, Ltd",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 12:10,,CO-9thFlr-DATA-101,10.10.12.134,24,255.255.255.0
10.10.12.135,8C-89-A5-1F-C5-5E,,AT--7426.sifbaksh.com,,,,,"Micro-Star INT'L CO., LTD",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 2:22,,CO-9thFlr-DATA-101,10.10.12.135,24,255.255.255.0
10.10.12.136,30-9C-23-FA-ED-5F,,AT4048.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/13/19 1:45,,CO-9thFlr-DATA-101,10.10.12.136,24,255.255.255.0
10.10.12.137,30-9C-23-FA-F0-07,,AT4045.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 5:17,,CO-9thFlr-DATA-101,10.10.12.137,24,255.255.255.0
10.10.12.138,FC-4D-D4-41-74-83,,AT7779.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/12/19 13:39,,CO-9thFlr-DATA-101,10.10.12.138,24,255.255.255.0
10.10.12.139,54-E1-AD-55-22-41,,AT7108.sifbaksh.com,,,,,Unknown,,,,,7/4/18 5:52,Used,,Dynamic,No,,7/4/18 5:43,,CO-9thFlr-DATA-101,10.10.12.139,24,255.255.255.0
10.10.12.140,54-E1-AD-A1-5A-45,,AT7117.sifbaksh.com,,,,,Unknown,,,,,8/1/18 8:35,Used,,Dynamic,No,,8/1/18 7:32,,CO-9thFlr-DATA-101,10.10.12.140,24,255.255.255.0
10.10.12.141,FC-4D-D4-41-98-26,,AT7768.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,7/27/18 8:39,Used,,Dynamic,No,,7/27/18 8:27,,CO-9thFlr-DATA-101,10.10.12.141,24,255.255.255.0
10.10.12.142,FC-4D-D4-41-74-C0,,AT7763.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,12/28/18 3:25,Used,,Dynamic,No,,12/28/18 5:06,,CO-9thFlr-DATA-101,10.10.12.142,24,255.255.255.0
10.10.12.143,54-EE-75-A6-6E-0A,,AT7048.sifbaksh.com,,,,,"Wistron InfoComm(Kunshan)Co.,Ltd.",,,,,3/16/18 14:10,Used,,Dynamic,No,,3/16/18 8:12,,CO-9thFlr-DATA-101,10.10.12.143,24,255.255.255.0
10.10.12.144,54-E1-AD-55-23-38,,AT7110.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/12/19 20:00,,CO-9thFlr-DATA-101,10.10.12.144,24,255.255.255.0
10.10.12.145,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.145,24,255.255.255.0
10.10.12.146,94-C6-91-79-2F-58,,AT8000.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 13:32,,CO-9thFlr-DATA-101,10.10.12.146,24,255.255.255.0
10.10.12.147,8C-16-45-47-61-47,,AT8501.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 14:06,,CO-9thFlr-DATA-101,10.10.12.147,24,255.255.255.0
10.10.12.148,94-C6-91-79-2F-80,,AT8001.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 13:23,,CO-9thFlr-DATA-101,10.10.12.148,24,255.255.255.0
10.10.12.149,94-C6-91-79-2F-64,,AT8002.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/14/19 0:15,,CO-9thFlr-DATA-101,10.10.12.149,24,255.255.255.0
10.10.12.150,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.150,24,255.255.255.0
10.10.12.151,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.151,24,255.255.255.0
10.10.12.152,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.152,24,255.255.255.0
10.10.12.153,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.153,24,255.255.255.0
10.10.12.154,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.154,24,255.255.255.0
10.10.12.155,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.155,24,255.255.255.0
10.10.12.156,,,,,,,,,,,,,,Available,,Dynamic,No,,,,CO-9thFlr-DATA-101,10.10.12.156,24,255.255.255.0
