IP Address,Subnet Display Name,Subnet Address,Subnet CIDR,Subnet Mask
10.221.124.192,US-CO,10.221.124.192,29,255.255.255.248
10.221.124.193,US-CO,10.221.124.192,29,255.255.255.248
10.221.124.194,US-CO,10.221.124.192,29,255.255.255.248
10.221.124.195,US-CO,10.221.124.192,29,255.255.255.248
10.221.124.196,US-CO,10.221.124.192,29,255.255.255.248
10.221.124.197,US-CO,10.221.124.192,29,255.255.255.248
10.221.124.198,US-CO,10.221.124.192,29,255.255.255.248
10.221.124.199,US-CO,10.221.124.192,29,255.255.255.248
